File,codigo_web_1.100.0.26245.txt,vscode_web_1.128.0-exploration.txt,vscode_web_1.135.0.txt,vscode_web_1.136.0-insider.txt
extensions/theme-modern-icons/fileicons/images/jenkins.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/jinja.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/jserb.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/json.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/julia.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/karma.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/kotlin.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/less.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/license.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/liquid.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/livescript.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/lua.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/makefile.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/markdown.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/maven.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/mdo.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/mustache.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/nlm.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/notebook.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/npm.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/npmignored.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/nunjucks.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/ocaml.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/odata.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/pddl.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/pdf.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/perl.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/photoshop.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/php.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/pipeline.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/plan.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/platformio.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/powershell.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/prisma.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/project.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/prolog.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/pug.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/puppet.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/purescript.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/python.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/r.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/rails.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/react.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/reasonml.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/rescript.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/rollup.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/ruby.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/rust.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/salesforce.svg,Y,,Y,Y
extensions/theme-modern-icons/fileicons/images/sass.svg,Y,,Y,Y
